saptamana,zona,produs,pret_lei,variatie_procente
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),VEST,GRAU PT PANIFICATIE (lei/tona),1135,0.27
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),VEST,GRAU FURAJER (lei/tona),1051,6.7
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),VEST,PORUMB (lei/tona),935,-8.15
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),VEST,ORZ (lei/tona),-,0
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),EST,GRAU PT PANIFICATIE (lei/tona),1105,0.64
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),EST,GRAU FURAJER (lei/tona),914,-10.57
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),EST,PORUMB (lei/tona),1041,-1.05
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),EST,ORZ (lei/tona),-,0
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),SUD,GRAU PT PANIFICATIE (lei/tona),1078,-0.19
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),SUD,GRAU FURAJER (lei/tona),1050,0
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),SUD,PORUMB (lei/tona),1094,0.74
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),SUD,ORZ (lei/tona),-,0
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),FOB CONSTANTA,GRAU PT PANIFICATIE (lei/tona),-,0
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),FOB CONSTANTA,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),FOB CONSTANTA,PORUMB (lei/tona),-,0
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),FOB CONSTANTA,ORZ (lei/tona),1039,6.02
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),VEST,ORZ FURAJER (lei/tona),1028,1.28
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),VEST,FLOAREA SOARELUI (lei/tona),2639,5.77
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),VEST,RAPITA (lei/tona),2623,7.54
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),VEST,MERE (lei/tona),-,0
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),EST,ORZ FURAJER (lei/tona),1006,-3.27
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),EST,FLOAREA SOARELUI (lei/tona),2479,0.65
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),EST,RAPITA (lei/tona),-,0
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),EST,MERE (lei/tona),-,0
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),SUD,ORZ FURAJER (lei/tona),1012,-2.69
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),SUD,FLOAREA SOARELUI (lei/tona),2401,0.97
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),SUD,RAPITA (lei/tona),2600,5.73
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),SUD,MERE (lei/tona),-,0
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),FOB CONSTANTA,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),FOB CONSTANTA,FLOAREA SOARELUI (lei/tona),-,0
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),FOB CONSTANTA,RAPITA (lei/tona),-,0
SAPTAMANA 18/2025 (Saptamana 01 - 07 mai 2025),FOB CONSTANTA,MERE (lei/tona),-,0
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),VEST,GRAU PT PANIFICATIE (lei/tona),1061,3.11
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),VEST,GRAU FURAJER (lei/tona),1018,6.82
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),VEST,PORUMB (lei/tona),993,0.51
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),VEST,ORZ (lei/tona),-,0
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),EST,GRAU PT PANIFICATIE (lei/tona),1104,-0.99
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),EST,GRAU FURAJER (lei/tona),992,-2.94
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),EST,PORUMB (lei/tona),1050,-1.69
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),EST,ORZ (lei/tona),-,0
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),SUD,GRAU PT PANIFICATIE (lei/tona),1092,1.49
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),SUD,GRAU FURAJER (lei/tona),1043,-0.67
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),SUD,PORUMB (lei/tona),1059,-9.56
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),SUD,ORZ (lei/tona),-,0
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),FOB CONSTANTA,GRAU PT PANIFICATIE (lei/tona),1111,3.45
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),FOB CONSTANTA,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),FOB CONSTANTA,PORUMB (lei/tona),-,0
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),FOB CONSTANTA,ORZ (lei/tona),-,0
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),VEST,ORZ FURAJER (lei/tona),1057,-3.91
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),VEST,FLOAREA SOARELUI (lei/tona),2645,4.13
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),VEST,RAPITA (lei/tona),-,0
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),VEST,MERE (lei/tona),-,0
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),EST,ORZ FURAJER (lei/tona),969,-6.83
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),EST,FLOAREA SOARELUI (lei/tona),2416,-14.69
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),EST,RAPITA (lei/tona),-,0
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),EST,MERE (lei/tona),-,0
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),SUD,ORZ FURAJER (lei/tona),1019,-1.74
SAPTAMANA 17/2025 (Saptamana 24 - 30 aprilie 2025),SUD,FLOAREA SOARELUI (lei/tona),2406,10.37
