saptamana,zona,produs,pret_lei_predictie
Predictie 19-05-2025,VEST,GRAU PT PANIFICATIE (lei/tona),1136.07
Predictie 19-05-2025,EST,GRAU PT PANIFICATIE (lei/tona),1104.61
Predictie 19-05-2025,SUD,GRAU PT PANIFICATIE (lei/tona),1099.24
Predictie 19-05-2025,FOB CONSTANTA,GRAU PT PANIFICATIE (lei/tona),1087.91
Predictie 19-05-2025,VEST,GRAU FURAJER (lei/tona),1013.9
Predictie 19-05-2025,EST,GRAU FURAJER (lei/tona),1012.69
Predictie 19-05-2025,SUD,GRAU FURAJER (lei/tona),1094.6
Predictie 19-05-2025,VEST,PORUMB (lei/tona),1024.04
Predictie 19-05-2025,EST,PORUMB (lei/tona),1074.41
Predictie 19-05-2025,SUD,PORUMB (lei/tona),1134.69
Predictie 19-05-2025,FOB CONSTANTA,PORUMB (lei/tona),1037.36
Predictie 19-05-2025,FOB CONSTANTA,ORZ (lei/tona),1013.75
Predictie 19-05-2025,VEST,ORZ FURAJER (lei/tona),1097.35
Predictie 19-05-2025,EST,ORZ FURAJER (lei/tona),1025.18
Predictie 19-05-2025,SUD,ORZ FURAJER (lei/tona),1087.83
Predictie 19-05-2025,VEST,FLOAREA SOARELUI (lei/tona),2603.26
Predictie 19-05-2025,EST,FLOAREA SOARELUI (lei/tona),2565.14
Predictie 19-05-2025,SUD,FLOAREA SOARELUI (lei/tona),2372.29
Predictie 19-05-2025,VEST,RAPITA (lei/tona),2413.0
Predictie 19-05-2025,EST,RAPITA (lei/tona),1932.39
Predictie 19-05-2025,SUD,RAPITA (lei/tona),2512.85
